customer_id,name,email,churn_type
1,"Tara Ramos",pinedajill@gmail.com,financial_churn_flag
2,"Casey Sanders",kimberly26@white-velasquez.biz,financial_churn_flag
3,"Amanda Fernandez",annapugh@wiggins.biz,financial_churn_flag
4,"Manuel Atkins",webbdavid@hotmail.com,financial_churn_flag
5,"Mark Jennings",austin86@hotmail.com,financial_churn_flag
6,"Lynn Hill",schultzmadeline@espinoza.info,financial_churn_flag
7,"Christina Hudson",shanetucker@richards.org,financial_churn_flag
8,"Richard Harris",jonesdawn@hernandez-andrews.info,financial_churn_flag
9,"David Torres",tonyfleming@massey.com,financial_churn_flag
10,"Holly Jenkins",kperkins@hotmail.com,financial_churn_flag
11,"Robert Henderson",joshua97@tapia.net,financial_churn_flag
12,"Brianna Barnes",jrogers@gmail.com,active
13,"Julie Griffin",ydillon@yahoo.com,financial_churn_flag
14,"Felicia Allen",james17@yahoo.com,financial_churn_flag
15,"Matthew Cook",debra35@yahoo.com,active
16,"Janice Harrington",linda83@keller-ortega.net,financial_churn_flag
17,"Rebecca Smith",lbartlett@yahoo.com,engagement_churn_flag
18,"Kendra Mcdowell",nancy27@washington.com,financial_churn_flag
19,"David Grimes",olsenalexandra@gmail.com,engagement_churn_flag
20,"Samantha Barnes",taylortanya@gmail.com,financial_churn_flag
21,"Alexandra Calderon",jessica72@gmail.com,financial_churn_flag
22,"Brianna Owens",hernandezshelby@esparza.com,financial_churn_flag
23,"Megan Hall",goneill@gmail.com,active
24,"Daniel Sanchez",thomasemily@yahoo.com,financial_churn_flag
25,"Larry Quinn",robertmartin@johnson.com,financial_churn_flag
26,"Kristy Cox",ejarvis@hotmail.com,financial_churn_flag
27,"Jasmine Lee",hmorris@hotmail.com,financial_churn_flag
28,"Austin Allen",baldwinleah@hill-nguyen.info,financial_churn_flag
29,"Jack Reeves",burgessrichard@yahoo.com,financial_churn_flag
30,"Ronald Jackson",dustin79@gmail.com,financial_churn_flag
31,"Michelle Humphrey",jennifer62@walton-kerr.com,financial_churn_flag
32,"Mr. Eric Henderson III",kenneth54@adkins-cline.com,financial_churn_flag
33,"Peter Sullivan",matthewrasmussen@yahoo.com,active
34,"Beverly Zamora",hughesjill@yahoo.com,financial_churn_flag
35,"Craig French",carterhunter@hayes.biz,financial_churn_flag
36,"Michael Moss",sharonstokes@lopez.net,financial_churn_flag
37,"Ryan Cabrera",phillip66@gmail.com,financial_churn_flag
38,"Micheal Evans",pgonzalez@yahoo.com,financial_churn_flag
39,"Ray Soto",timothy21@yahoo.com,financial_churn_flag
40,"Jeremy Ortega",choirobert@davis.com,financial_churn_flag
41,"Patrick Jones",michelle43@hotmail.com,engagement_churn_flag
42,"Hannah Hurley",nbrooks@hotmail.com,financial_churn_flag
43,"Michael Allen",peter00@gmail.com,financial_churn_flag
44,"Darrell Brown",ellismichael@watts-allen.com,financial_churn_flag
45,"Tyler Williams",hannaabigail@gmail.com,financial_churn_flag
46,"Mr. Joseph English",rgarza@gmail.com,financial_churn_flag
47,"Michael Butler",angelafisher@lang.net,financial_churn_flag
48,"Daniel Jimenez",lindseydarryl@monroe.com,financial_churn_flag
49,"John Brown",amanda76@sims-payne.info,engagement_churn_flag
